seed,mode,cum_fisher_van,steps_van,cum_fisher_nat,steps_nat,J0,Jfinal_van,Jfinal_nat
0,fixA,0.8830084027890408,74,0.6097640983265196,4,0.21151986096808023,0.0020987047770167117,0.0008262494569065634
1,fixA,2.8835337839682498,40,2.091791449912822,4,2.48922536955926,0.024615293637939156,0.009723536599840859
2,fixA,3.2118388880533257,73,2.2654661103996205,4,2.919729321170026,0.028522135414423812,0.011405192660820414
3,fixA,3.1622053987911536,23,2.401295715699805,4,3.2803391227666427,0.03078716323036468,0.012813824698307198
4,fixA,1.8747305685745033,39,1.5620501794885768,4,1.3880893230878124,0.013138440557439027,0.005422223918311767
5,fixA,1.3534809422269778,65,1.049982672055362,4,0.6271792990529524,0.006161720153790724,0.0024499191369255955
6,fixA,3.564597684169626,5,3.0880886936597833,4,5.425090434792896,0.04800528064167074,0.02119175951090975
7,fixA,2.5986362686600644,33,1.8839208362862752,4,2.0190763903394577,0.019530076155334686,0.007887017149763507
8,fixA,5.537136771029855,21,4.167666226887109,4,9.881282434125044,0.09333635095467446,0.03859875950830095
9,fixA,4.023542886034097,49,3.1425620257769076,4,5.618173773286435,0.055933100433004077,0.02194599130190014
10,fixA,2.6718282595474965,30,1.97300918205468,4,2.214550887806337,0.020430628669160893,0.008650589405493504
11,fixA,2.7898317819423233,27,2.0680510909950205,4,2.4330440902915953,0.0234543240407765,0.009504078477701544
12,fixA,2.8922297773345833,65,1.9719258503088033,4,2.2121196425193794,0.021921470829454462,0.008641092353591326
13,fixA,3.12015254372467,49,2.436535912334049,4,3.377326792302089,0.03207781822043445,0.013192682782430035
14,fixA,1.9013549596744554,53,1.6558398928218858,4,1.5597828270423577,0.01545653860850698,0.00609290166813421
15,fixA,5.3415553918397665,27,4.1986461851138674,4,10.028731612598747,0.09293032479796323,0.03917473286171386
16,fixA,2.322966986694566,32,1.87084072878693,4,1.99113672959318,0.019463778714306455,0.00777787784997336
17,fixA,3.635734546688595,45,2.5177624132567007,4,3.606259239599334,0.03426729499429178,0.014086950154684898
18,fixA,2.5002757754029927,22,1.9788150762284804,4,2.2276034024727474,0.02138141138641011,0.00870157579090917
19,fixA,4.985695876902168,21,3.6686469696502164,4,7.656658823352158,0.071938457671933,0.029908823528719368
20,fixA,3.1647583273039728,21,2.3346294860891614,4,3.1007259518958596,0.02921783632489553,0.012112210749593202
21,fixA,6.344242415452232,10,4.887657541540279,4,13.59029830734254,0.12840878686379742,0.053087102763056795
22,fixA,2.2302474078388994,19,1.8078895987933652,4,1.8593933092552448,0.017537619152828966,0.0072632551142783
23,fixA,4.12177463791152,26,2.961387666180238,4,4.989051397350079,0.04621717370595004,0.019488482020898746
24,fixA,4.056234027988167,11,3.108918722911312,4,5.498524800380304,0.05194309699214884,0.021478612501485563
25,fixA,3.867874448535066,22,2.8336435056525846,4,4.567913538632287,0.040330317778983424,0.01784341226028237
26,fixA,4.509203959491862,8,3.56671301461121,4,7.2370868500462855,0.06523491874426678,0.028269870507993303
27,fixA,6.353569283771334,20,4.690253628106716,4,12.514690330150806,0.12273922104619198,0.048885509102151586
28,fixA,1.6856097953956435,24,1.223996075142294,4,0.8522902140949278,0.007974736966579866,0.0033292586488083116
29,fixA,3.1225404137423602,25,2.4414852978532715,4,3.391061594813825,0.03220374250645278,0.013246334354741504
30,fixA,1.6590622604791267,56,1.150772087318653,4,0.7533661280436506,0.007512132427802541,0.00294283643767051
31,fixA,6.582390340657296,23,4.946916611854924,4,13.921839766554285,0.13668233309884992,0.05438218658810268
32,fixA,2.7795569164369556,39,1.9971816236733884,4,2.2691467024717773,0.020917513350332612,0.00886385430653038
33,fixA,2.7077430915898866,50,2.357383877198748,4,3.1614627524133554,0.030573351390680483,0.01234946387661467
34,fixA,3.883590829691331,17,3.249898552048443,4,6.008513762762846,0.05881134729380146,0.02347075688579237
35,fixA,3.3281012313121177,24,2.984226594333259,4,5.066301648398724,0.04835987499294381,0.019790240814057516
36,fixA,1.6807037206987534,40,1.2425771904607543,4,0.8783633489085678,0.008374415699162887,0.003431106831674093
37,fixA,2.547430119284457,59,1.7971833775905255,4,1.837436070506774,0.017918347668034237,0.007177484650417086
38,fixA,6.880548497842286,10,5.913932731443211,4,19.896661533602337,0.19003281191364252,0.07772133411563413
39,fixA,6.114840355256267,11,5.07767869484906,4,14.667560350221681,0.13245351992933774,0.05729515761805344
40,fixA,3.486671787906247,52,2.4236149125889264,4,3.341601703551106,0.03230358490630035,0.013053131654496508
41,fixA,2.7324127263334232,55,1.8808045727341105,4,2.012402256109534,0.019789026402920764,0.007860946312927867
42,fixA,2.604719690419988,27,2.3602879373196988,4,3.1692567592145795,0.03044010729701944,0.012379909215681951
43,fixA,4.015695560015427,40,2.8850558904389407,4,4.735173683744101,0.04506986163984365,0.018496772202125394
44,fixA,2.2972849068293737,27,2.1491785059540507,4,2.6276797158143355,0.024926426910875328,0.010264373889899748
45,fixA,5.19505835766168,13,4.2414359554978684,4,10.234185366522379,0.10102106716872354,0.03997728658797804
46,fixA,4.719474554336469,30,3.4073186481308584,4,6.604697810432169,0.06328913449529282,0.02579960082200066
47,fixA,7.54036460507978,16,5.7201515435179795,4,18.61412049397255,0.17319979354555026,0.07271140817958027
48,fixA,5.206227072188786,24,4.0986663745602865,4,9.556802019527774,0.09415147188972367,0.03733125788878037
49,fixA,2.1475989312438912,96,1.569307426251046,4,1.4010173429115347,0.013487981314987501,0.005472723995748182
50,fixA,2.065678440064455,55,1.5287854528904667,4,1.3295985555737653,0.012894923038757857,0.005193744357710021
51,fixA,4.50242314468549,31,3.227865864471789,4,5.927320484421523,0.05828567429784501,0.023153595642271575
52,fixA,2.8932366370382163,35,2.2245081231214425,4,2.815110479549602,0.027683553877810657,0.010996525310740633
53,fixA,4.097798055020139,15,3.056563352522161,4,5.314889687029483,0.04900101891479682,0.020761287839958918
54,fixA,9.939979140275334,7,8.448129178168431,4,40.6021043831585,0.3647352506430607,0.15860197024671288
55,fixA,2.231504544100959,38,1.9751800168429503,4,2.2194267585056524,0.022188918972638763,0.008669635775412705
56,fixA,3.3812492045065285,41,2.4912152394350824,4,3.5306116944745787,0.03306326004820992,0.013791451931541323
57,fixA,1.8671181305788869,53,1.5026115564242302,4,1.284460936248688,0.012402721137514928,0.005017425532221438
58,fixA,5.165369925629352,18,3.9149343331470843,4,8.719195496023495,0.07941185579027425,0.03405935740634178
59,fixA,3.292295439429029,18,2.443444898510284,4,3.396507290769596,0.033223847734943315,0.013267606604568735
60,fixA,7.666480727399599,10,6.179015187915037,4,21.720307878391296,0.21563315232212743,0.084844952649966
61,fixA,0.5072915387824763,92,0.41787024345900486,4,0.09933684074296208,0.0009696005977110473,0.0003880345341521956
62,fixA,2.597517602526045,51,1.9183854367325668,4,2.0936264157113462,0.020681672115040906,0.008178228186372446
