target,target_role,channel,n_mu,mean_spearman,median_spearman,fraction_positive_slopes,fraction_positive_spearman,average_rank_across_mu,mean_pearson,median_pearson,mean_slope,median_slope
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,blind,3,0.5515151515151514,0.5272727272727272,1.0,1.0,1.0,0.37626632234926044,0.1921995412428735,3897176.8594614603,2041877.9444308626
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,task_no_group,3,0.06262626262626261,-0.10303030303030303,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.17448849261803467,0.12758333737195615,223867.3187595551,129272.9369618027
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,task_no_qty,3,0.0707070707070707,0.006060606060606061,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.04773380641465182,-0.0451255328615261,46168.94084345652,-85202.7659898
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,task,3,0.08686868686868687,0.13939393939393938,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.21034385395554964,0.2421030499115625,494556.06991291494,716120.489966728
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,coarse,3,0.01414141414141414,0.11515151515151514,0.6666666666666666,0.6666666666666666,4.333333333333333,0.12055728991503507,0.20746383258719558,345118.29009165097,518275.9187227146
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,task_no_cost,3,-0.17575757575757575,-0.17575757575757575,0.0,0.0,5.333333333333333,-0.126687397757716,-0.10736688372168043,-464603.412649358,-351821.42536939157
V_T,primary_within_step_population_risk_shift,task_no_cost,3,0.098989898989899,0.16363636363636364,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.051857333893665654,-0.008984909668444832,7018.348293474251,-963.7135188983178
V_T,primary_within_step_population_risk_shift,blind,3,-0.05858585858585858,0.0303030303030303,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.021144659138255834,0.11094974149852768,6790.81243162673,46362.78199127513
V_T,primary_within_step_population_risk_shift,coarse,3,-0.11515151515151516,-0.1515151515151515,0.0,0.3333333333333333,3.3333333333333335,-0.19895484526114612,-0.1413631429465824,-34516.04412807647,-21274.090141331057
V_T,primary_within_step_population_risk_shift,task_no_group,3,-0.1919191919191919,-0.33333333333333326,0.0,0.3333333333333333,3.6666666666666665,-0.30682803789445806,-0.21700346009638263,-18823.80950873397,-19360.5071569313
V_T,primary_within_step_population_risk_shift,task,3,-0.2565656565656565,-0.5636363636363636,0.3333333333333333,0.3333333333333333,4.0,-0.3681798181276979,-0.6102361735596562,-23635.903893908715,-27352.91019963034
V_T,primary_within_step_population_risk_shift,task_no_qty,3,-0.3090909090909091,-0.3939393939393939,0.0,0.3333333333333333,5.0,-0.4361869939812961,-0.5102804459314074,-26221.803456091922,-36313.98513809293
