mu,seed,target,excluded_initial_rounds,included_all_rounds,excluding_initial_rounds,excluded_minus_included,excluded_over_included
0.1,6,Delta_rep_T,3,1581.6351266769925,5366.775331941666,3785.1402052646736,3.393181677253991
0.1,7,Delta_rep_T,3,6812.966680176905,6963.498972025991,150.5322918490856,1.022094969624184
0.1,8,Delta_rep_T,3,7321.0168203141075,8497.013170965074,1175.9963506509666,1.160632925659705
0.1,9,Delta_rep_T,3,684.8991247761296,979.5032641615253,294.6041393853957,1.4301423796996262
0.2,0,Delta_rep_T,3,10308.772594411857,7487.22378164425,-2821.548812767607,0.7262963377136574
0.2,1,Delta_rep_T,3,12936.22853482631,12167.802779605961,-768.425755220349,0.9405989347550849
0.2,2,Delta_rep_T,3,22111.83148934797,20171.951146292267,-1939.8803430557018,0.9122695764034648
0.2,3,Delta_rep_T,3,15924.747636558546,15150.36087595555,-774.3867606029962,0.951372117268268
0.2,4,Delta_rep_T,3,16345.535977146123,17603.244890514237,1257.7089133681147,1.076945100798567
0.2,5,Delta_rep_T,3,27250.961453368654,27262.41299849871,11.451545130054,1.0004202253615766
0.2,6,Delta_rep_T,3,9685.37024176569,5340.339299752726,-4345.030942012963,0.5513820500866219
0.2,7,Delta_rep_T,3,23643.41270586569,23286.340600235446,-357.07210563024273,0.9848976072078776
0.2,8,Delta_rep_T,3,21608.85593536694,23008.23199264775,1399.3760572808096,1.0647593774268478
0.2,9,Delta_rep_T,3,13410.975440956594,13894.039693662664,483.06425270606996,1.0360200684009018
0.0,0,Delta_sam_T,3,4885.839363955776,7189.238520392973,2303.3991564371972,1.4714438983463163
0.0,1,Delta_sam_T,3,4389.183200447238,5462.198523054947,1073.015322607709,1.2444681102621493
0.0,2,Delta_sam_T,3,3539.157950990426,2187.7495228766347,-1351.4084281137912,0.6181553785313249
0.0,3,Delta_sam_T,3,1936.5238441337715,1022.8948447779985,-913.628999355773,0.5282118512904501
0.0,4,Delta_sam_T,3,1971.9244541753433,865.3820688469568,-1106.5423853283864,0.43885153258006465
0.0,5,Delta_sam_T,3,5345.603519605182,5478.331021378166,132.7275017729844,1.0248292828463992
0.0,6,Delta_sam_T,3,5402.488338275347,7837.068351979251,2434.580013703904,1.45064049402115
0.0,7,Delta_sam_T,3,1038.2963181042578,28.91864906914998,-1009.3776690351078,0.02785201927899564
0.0,8,Delta_sam_T,3,87.40672431478743,1827.276454058825,1739.8697297440376,20.905444842871056
0.0,9,Delta_sam_T,3,1480.7357978877262,188.44660998356994,-1292.2891879041563,0.1272655191104244
0.05,0,Delta_sam_T,3,5540.529638287728,8006.796028772253,2466.266390484525,1.4451318829596067
0.05,1,Delta_sam_T,3,4864.65188673581,6065.196726181952,1200.5448394461419,1.2467894655976524
0.05,2,Delta_sam_T,3,4599.0000076122815,3498.7937156170374,-1100.206291995244,0.7607727135955255
0.05,3,Delta_sam_T,3,646.0217806129949,547.4450468533905,-98.5767337596044,0.8474095816613687
0.05,4,Delta_sam_T,3,1182.7885225721984,72.03980245726416,-1110.7487201149343,0.0609067479794274
0.05,5,Delta_sam_T,3,5519.4618800985045,5698.681424741575,179.21954464307055,1.0324704742122202
0.05,6,Delta_sam_T,3,6822.642561771674,9601.275525643548,2778.6329638718744,1.407266383767631
0.05,7,Delta_sam_T,3,280.0828847833909,864.6789503659238,584.5960655825329,3.087225237038832
0.05,8,Delta_sam_T,3,148.38474465883337,1919.9173699328676,1771.5326252740342,12.938778675308887
0.05,9,Delta_sam_T,3,3723.4985530217527,2475.935915800859,-1247.5626372208935,0.6649488056847903
0.1,0,Delta_sam_T,3,6572.812283225008,9292.436494968832,2719.6242117438233,1.4137687331623314
0.1,1,Delta_sam_T,3,4785.637451908726,5999.988492696662,1214.3510407879367,1.2537490674943625
0.1,2,Delta_sam_T,3,4809.352990433632,3795.501224147738,-1013.851766285894,0.7891916504563994
0.1,3,Delta_sam_T,3,605.521868642245,607.1665114760981,1.6446428338531405,1.002716075040429
0.1,4,Delta_sam_T,3,466.2344825749751,944.1272823915351,477.89279981656,2.025005265970884
0.1,5,Delta_sam_T,3,5241.625752399676,5377.895002817153,136.26925041747745,1.0259975162009787
0.1,6,Delta_sam_T,3,7095.600673200737,9965.423387054761,2869.822713854024,1.4044509895678055
0.1,7,Delta_sam_T,3,703.4922589944908,2006.3161436939263,1302.8238846994354,2.8519377690972405
0.1,8,Delta_sam_T,3,1164.0775066971546,3145.5647690271726,1981.487262330018,2.7021953013696707
0.1,9,Delta_sam_T,3,5288.965041264251,4344.4536969682085,-944.5113442960428,0.8214184936132096
0.2,0,Delta_sam_T,3,7801.362109470589,10844.791087255639,3043.42897778505,1.390115076710826
0.2,1,Delta_sam_T,3,5215.32733592781,6547.292498181632,1331.9651622538222,1.2553943552263849
0.2,2,Delta_sam_T,3,5451.810925319209,4691.058048138162,-760.7528771810466,0.8604586828849895
0.2,3,Delta_sam_T,3,522.5153579644393,754.0040900090244,231.48873204458505,1.4430276134779936
0.2,4,Delta_sam_T,3,1108.1893895696849,2894.04441185412,1785.855022284435,2.6115070574515165
0.2,5,Delta_sam_T,3,7435.147961832292,8011.032976068149,575.8850142358569,1.0774544120967215
0.2,6,Delta_sam_T,3,8032.045653430687,11188.102819114341,3156.0571656836546,1.3929331706843104
0.2,7,Delta_sam_T,3,2694.612949718954,4302.607304304256,1607.994354585302,1.5967440907433532
0.2,8,Delta_sam_T,3,1530.1945726489648,3632.646100604208,2102.4515279552434,2.3739765945683806
0.2,9,Delta_sam_T,3,6887.347624533868,6253.692276239046,-633.655348294822,0.9079971880557274
0.0,0,V_T,3,1644.6372216785983,1676.9935499987623,32.35632832016404,1.0196738392477458
0.0,1,V_T,3,1602.799605787888,1609.9414733838748,7.141867595986923,1.00445587057184
0.0,2,V_T,3,1367.3822026635876,1296.0353948863558,-71.34680777723179,0.9478223369894299
0.0,3,V_T,3,1576.586435794962,1561.0056451411729,-15.580790653789109,0.9901173888725404
0.0,4,V_T,3,1417.545164838905,1479.1405608431196,61.595396004214535,1.043452157668087
0.0,5,V_T,3,1256.2053845416124,1303.164460586162,46.95907604454965,1.0373816866432912
0.0,6,V_T,3,1734.7762668707628,1720.5098400025818,-14.266426868181043,0.991776215100109
0.0,7,V_T,3,1444.504829931275,1484.3288923692962,39.8240624380212,1.0275693522187226
0.0,8,V_T,3,1627.8178821760598,1610.1348029454384,-17.683079230621388,0.9891369425141203
0.0,9,V_T,3,1476.3085233781603,1378.983896054171,-97.32462732398926,0.9340756855475667
0.05,0,V_T,3,3129.506503523499,2873.8430904291163,-255.66341309438258,0.9183055178806844
0.05,1,V_T,3,3294.4141319254413,3064.5892893433193,-229.82484258212207,0.9302380230964468
0.05,2,V_T,3,2973.9724455119176,2624.626249725239,-349.34619578667844,0.8825321343128502
0.05,3,V_T,3,3110.341511753072,2687.5488391705367,-422.7926725825355,0.864068729756869
0.05,4,V_T,3,2690.569940000696,2420.3309382533225,-270.23900174737355,0.8995606849947548
0.05,5,V_T,3,3239.209477549713,3003.8376179766274,-235.37185957308566,0.9273366353104364
0.05,6,V_T,3,3269.623178792214,2910.9697527585668,-358.65342603364707,0.8903074126829098
0.05,7,V_T,3,2984.442950951024,2572.0258472327987,-412.41710371822546,0.8618110278882013
0.05,8,V_T,3,3254.504715291134,2898.61844914802,-355.88626614311397,0.8906481024682498
0.05,9,V_T,3,3513.4291452251277,3244.1896718786265,-269.2394733465012,0.9233684636240902
0.1,0,V_T,3,6193.423708380473,5415.441482384402,-777.9822259960711,0.8743857577605478
0.1,1,V_T,3,6504.555964210904,5879.709154570202,-624.8468096407014,0.9039370538006426
