channel,label,definition,raw_FR_rate_mu0,raw_FR_rate_mu_max,excess_FR_mu_max,raw_FR_response_mu_max_minus_mu0,baseline_to_excess_ratio,fr_rate_std_across_runs,pearson_excess_with_Delta_rep_T,spearman_excess_with_Delta_rep_T,pearson_excess_with_V_T,spearman_excess_with_V_T,slope_Delta_rep_T_per_excess_FR,slope_V_T_per_excess_FR,slope_excess_FR_per_Delta_rep_T,slope_excess_FR_per_V_T,association_score,feedback_sensitivity_score,feedback_sensitivity_rank
null,Null blind,Fixed deterministic row/hash buckets only; no predictions or task variables.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
task_no_qty,Task minus quantity,Prediction-score bins x Unit Cost bins x Sales Channel subgroup; omits Order Quantity.,0.017081035115266183,0.09095211127102716,0.07387107615576097,0.07387107615576098,0.23122764692435158,0.02765801777911835,0.6179873840742947,0.658020487805637,0.7956318779888591,0.9309666298020269,141853.57393857616,165106.60627482762,2.692272011703838e-06,3.834068784736395e-06,0.794493558803832,0.047667946974931305,2
coarse,Coarse score,"Prediction-score bins only, with bin edges fixed from the baseline D_0 predictions.",0.005483104057153882,0.07003873416327903,0.06455563010612517,0.06455563010612515,0.08493610933918581,0.02444901039471503,0.5908568868918916,0.668042064200378,0.7681362710117342,0.940042774461415,153489.23300674593,180395.41252641374,2.2745039111129966e-06,3.2707779127000744e-06,0.8040424193308966,0.047841955452633964,3
task_no_cost,Task minus cost,Prediction-score bins x Order Quantity bins x Sales Channel subgroup; omits Unit Cost.,0.03459984957020919,0.14354084462388933,0.10894099505368016,0.10894099505368014,0.31760173985156165,0.04075861607011665,0.7256179402679654,0.6415699756104961,0.9247498415595773,0.9500643508561563,113070.29538477732,130273.59050604982,4.656584591443548e-06,6.564356337631994e-06,0.7958171632333262,0.06579917969234216,4
task,Task-aligned,Prediction-score bins x Order Quantity bins x Unit Cost bins x Sales Channel subgroup.,0.05013771588608701,0.1685908644249495,0.11845314853886249,0.11845314853886249,0.4232704364936122,0.0435854746854609,0.7035948999658774,0.6610458693587664,0.8906296346914236,0.9334247523139445,102511.40206940653,117310.86438962862,4.829177762321663e-06,6.761702339486869e-06,0.7972353108363555,0.06635073017295041,5
task_no_group,Task minus subgroup,Prediction-score bins x Order Quantity bins x Unit Cost bins; omits Sales Channel subgroup.,0.037814385651921564,0.1543342085988981,0.11651982294697653,0.11651982294697653,0.32453178090675067,0.04296155522800398,0.707078825725076,0.6572641424173546,0.8979386104437911,0.936450133867074,104515.84669254292,119992.07395982661,4.783585280225489e-06,6.719558396796059e-06,0.7968571381422143,0.07009998098105431,6
