target,target_role,mu,channel,predictor,n_seeds,pearson,spearman,slope,intercept,r2_in_sample_within_mu,rmse_in_sample_within_mu,slope_ci95_low,slope_ci95_high,pearson_ci95_low,pearson_ci95_high,spearman_ci95_low,spearman_ci95_high
V_T,primary_within_step_population_risk_shift,0.05,null,A_rate_null_excess,10,0.0,0.0,0.0,3146.0014000523834,0.0,213.87593692097545,,,,,,
V_T,primary_within_step_population_risk_shift,0.05,coarse,A_rate_coarse_excess,10,0.39131586368935606,0.5878787878787878,50552.9228730922,1305.3002437200123,0.15312810517494624,196.82070592613636,-12844.968292386071,125472.75622395489,-0.10797231037979656,0.8119919789717884,-0.08176100628930819,0.872611464968153
V_T,primary_within_step_population_risk_shift,0.05,task_no_qty,A_rate_task_no_qty_excess,10,-0.09651161121063027,-0.2606060606060606,-9605.847921853874,3522.7403356039936,0.009314491098472377,212.87753382228152,-87907.26262024764,58059.129748085885,-0.5347685997240178,0.5174542362698132,-0.6855345911949686,0.4683588563335398
V_T,primary_within_step_population_risk_shift,0.05,task_no_cost,A_rate_task_no_cost_excess,10,-0.25566211372257996,-0.07878787878787878,-18918.835318205096,3793.6693277963227,0.06536311639309766,206.7680266032825,-95339.41115345154,28391.932644777717,-0.7443470319254727,0.539049031354758,-0.7654521404521404,0.6688741721854303
V_T,primary_within_step_population_risk_shift,0.05,task_no_group,A_rate_task_no_group_excess,10,-0.2517834346935697,-0.2121212121212121,-13112.30723563475,3717.7872424605325,0.06339489798609033,206.98562480387923,-46959.80428302717,21405.450669006917,-0.6972281431327955,0.801447373630501,-0.7922077922077922,0.6226415094339623
V_T,primary_within_step_population_risk_shift,0.05,task,A_rate_task_excess,10,-0.35322027050367033,-0.2606060606060606,-20371.480931543618,4080.553519991406,0.12476455949468634,200.08953390906584,-65906.75597630265,22401.060428750476,-0.8175894152759561,0.7243856762342799,-0.8666887417218542,0.6410256410256411
V_T,primary_within_step_population_risk_shift,0.1,null,A_rate_null_excess,10,0.0,0.0,0.0,6078.380133844103,0.0,477.54808871818597,,,,,,
V_T,primary_within_step_population_risk_shift,0.1,coarse,A_rate_coarse_excess,10,0.6606307390442684,0.6727272727272726,209572.68733287745,-4480.393875776972,0.43643297337017595,358.50060994367226,84323.82462198453,382462.16591675626,0.2941200520515959,0.9085666988456531,0.006287354974803705,0.9249999999999999
V_T,primary_within_step_population_risk_shift,0.1,task_no_qty,A_rate_task_no_qty_excess,10,0.699891342721845,0.6969696969696969,157060.96952535334,-2628.45674024905,0.48984789161698694,341.08840340514666,52138.77738310615,311221.40119847184,0.3137446542269574,0.9650897914499672,0.01886792452830189,0.9622641509433963
V_T,primary_within_step_population_risk_shift,0.1,task_no_cost,A_rate_task_no_cost_excess,10,0.3092807632226267,0.23636363636363633,40125.16251784338,3411.5822721976906,0.09565459049957026,454.1342746713239,-49772.56414740558,108002.63354031275,-0.18859340518624032,0.7263870850211462,-0.40373287812101516,0.7880979803381182
V_T,primary_within_step_population_risk_shift,0.1,task_no_group,A_rate_task_no_group_excess,10,0.06293568233437438,-0.1515151515151515,8289.710876373143,5457.589276330892,0.003960900110892451,476.60139020472,-285371.20735049166,67100.55660447548,-0.8185765402298112,0.6036679857893178,-0.7018633540372671,0.6603773584905661
V_T,primary_within_step_population_risk_shift,0.1,task,A_rate_task_excess,10,0.16887144214947764,0.07878787878787878,20424.51013344512,4534.446440631617,0.028517563973644133,470.6895840045446,-88597.08055927008,78921.68516527578,-0.4707180372279716,0.6340625610263952,-0.5797107218683651,0.6732026143790849
V_T,primary_within_step_population_risk_shift,0.2,null,A_rate_null_excess,10,0.0,0.0,0.0,18959.454021955196,0.0,1814.691694566675,,,,,,
V_T,primary_within_step_population_risk_shift,0.2,coarse,A_rate_coarse_excess,10,0.24847256113926952,0.33333333333333326,228130.96983818445,4237.176349012612,0.06173861363910671,1757.7810303437122,-189475.47588817836,1310053.484426495,-0.26458740276270243,0.793212846683183,-0.37106918238993714,0.8757763975155279
V_T,primary_within_step_population_risk_shift,0.2,task_no_qty,A_rate_task_no_qty_excess,10,0.30017557902920244,0.22424242424242422,182100.25206033097,5532.136089113379,0.09010537824551612,1731.0053117863947,-84478.4864533821,830274.4441629894,-0.21797544358132862,0.7715701341645113,-0.5185425685425685,0.7735849056603774
V_T,primary_within_step_population_risk_shift,0.2,task_no_cost,A_rate_task_no_cost_excess,10,0.27629151987731426,0.406060606060606,87332.2956641579,9229.698994093653,0.0763370039561172,1744.0527815053133,-136274.37329974948,536038.0621626059,-0.49944854560889795,0.8131864668131137,-0.4074074074074074,0.9602778859888323
V_T,primary_within_step_population_risk_shift,0.2,task_no_group,A_rate_task_no_group_excess,10,0.36419403142421847,0.3696969696969697,141114.12588099446,2393.457049059376,0.1326372925250252,1690.0642856442164,-100822.73574158039,534762.907145107,-0.3159299100528307,0.8068315466711565,-0.4691998602375961,0.8853863718303084
V_T,primary_within_step_population_risk_shift,0.2,task,A_rate_task_excess,10,0.4524980545791127,0.3696969696969697,165506.62107901854,-784.908996587219,0.20475448939788132,1618.2792465317889,-91036.2755565252,411760.9976413447,-0.29177549841913436,0.8484986886076603,-0.5125756987577639,0.8867924528301887
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,null,A_rate_null_excess,10,0.0,0.0,0.0,3433.0095826058123,0.0,2385.2654444592295,,,,,,
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,coarse,A_rate_coarse_excess,10,0.4134016087401116,0.3939393939393939,595615.1971969832,-18254.15546939109,0.17090089010891263,2171.900578584947,-847601.4440929428,1473128.8179680174,-0.4694626737266854,0.9340067786759418,-0.43749999999999994,0.9135802469135802
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task_no_qty,A_rate_task_no_qty_excess,10,0.4127065955768301,0.4787878787878787,458112.7106060324,-14534.05551778261,0.170326734032617,2172.6524754834604,-224869.9167321965,1479330.7196012281,-0.39986040144390533,0.9073514925742875,-0.31645569620253167,0.9586551724137926
Delta_rep_T,secondary_prequential_gap_cancellation_sensitive,0.05,task_no_cost,A_rate_task_no_cost_excess,10,0.2634521317775275,0.1515151515151515,217422.52260810434,-4010.2390261997043,0.06940702573812374,2300.999907771163,-715579.5067399649,797503.7148360875,-0.6229949676745328,0.8878741263545796,-0.664648033126294,0.8961038961038961
