channel,label,pearson_excess_with_gap,spearman_excess_with_gap,pearson_excess_with_vt,spearman_excess_with_vt
null,Null blind,0.0,0.0,0.0,0.0
coarse,Coarse score,0.5908568868918916,0.668042064200378,0.7681362710117342,0.940042774461415
task_no_qty,Task minus quantity,0.6179873840742947,0.658020487805637,0.7956318779888591,0.9309666298020269
task_no_cost,Task minus cost,0.7256179402679654,0.6415699756104961,0.9247498415595773,0.9500643508561563
task_no_group,Task minus subgroup,0.707078825725076,0.6572641424173546,0.8979386104437911,0.936450133867074
task,Task-aligned,0.7035948999658774,0.6610458693587664,0.8906296346914236,0.9334247523139445
