channel,y_col,fr_mid,y_median,y_q25,y_q75,n
coarse,delta_rep,0.0033227404759282606,1352.5592125823314,615.8384292649134,2237.4743087539246,76
coarse,delta_rep,0.005613055330630583,1561.394245796051,826.1338580640149,2301.6264911638573,76
coarse,delta_rep,0.013024217768999584,2362.1687722191855,1120.8671984563116,7174.1997192910785,76
coarse,delta_rep,0.02181543037637782,4796.966959709767,1437.0291443887836,13954.044065158538,76
coarse,delta_rep,0.026353337526746075,4287.513440911716,1859.885550196428,7796.428599063569,76
coarse,delta_rep,0.03158944214214804,4361.208921591548,2112.333073133894,16723.982813624694,76
coarse,delta_rep,0.0398059493665937,4688.770463424706,1964.438583059411,13457.789744408685,76
coarse,delta_rep,0.05320034812179887,4646.498042174731,2291.279924220071,9348.516651184458,76
coarse,delta_rep,0.07584632263056834,4481.312546140398,2486.729102145924,6293.531540153606,76
coarse,delta_rep,0.14120291836501747,10702.89368447286,6801.262926640353,16047.983740168187,76
task,delta_rep,0.03753091393705093,1235.1421814250643,625.3795961391006,2362.302930694146,76
task,delta_rep,0.04408747486860223,1536.985392469971,749.3287629717961,2220.037548688517,76
task,delta_rep,0.06675139518036285,1497.8312023935723,894.2380281234218,2588.1601088403113,76
task,delta_rep,0.08724268037246144,3237.2391223984305,1669.4841837022395,5019.12011524837,76
task,delta_rep,0.09536253932516062,3816.4680412931775,2346.957980709456,5948.445354147552,76
task,delta_rep,0.10479769071188844,3525.8956737628614,1804.162182924978,6376.297631548601,76
task,delta_rep,0.1182406971565507,7843.451593738806,2235.8087662240723,18658.08762716988,76
task,delta_rep,0.13256083450298123,10115.487669704395,4690.8547044302395,17424.51909828937,76
task,delta_rep,0.15781097376588438,9742.300181766419,5318.325867739724,14558.185632256107,76
task,delta_rep,0.2446490603315776,10539.081460434245,6236.630605593498,16047.983740168187,76
