channel,label,pearson_excess_with_gap,spearman_excess_with_gap,pearson_excess_with_vt,spearman_excess_with_vt
blind,Weak blind,0.7151643829775259,0.7121937262413598,0.9109128975506896,0.9483625737325208
coarse,Coarse score,0.5814188365229558,0.6749437158684545,0.7680919036390239,0.9360719611729329
task_no_qty,Task minus quantity,0.6109444252749028,0.6427990368664549,0.8025464209396452,0.9428790696674738
task_no_cost,Task minus cost,0.709467872244892,0.6214322796474787,0.924859295555858,0.9500643508561563
task_no_group,Task minus subgroup,0.685938858022518,0.6571695992438193,0.8970129943692424,0.9453371921793914
task,Task-aligned,0.6841357108674954,0.644122641295949,0.8897582401376221,0.9411772925438386
