target,channel,channel_label,fr_coef_controlling_mu,fr_std_err,fr_t,fr_p_value,fr_positive,fr_positive_p_lt_0_05,r2_mu_only,r2_mu_plus_fr,delta_r2_from_fr,partial_f_for_fr,partial_f_p_value
v_t,blind,Weak blind,34123.56721033052,34054.590879981326,1.0020254634857393,0.3166514799279188,True,False,0.6216297711551173,0.6221309617869539,0.0005011906318366233,1.004055029474015,0.3166514799279054
v_t,coarse,Coarse score,9601.499786924851,3314.909119169209,2.8964594327494573,0.0038828039835376916,True,True,0.6216297711551173,0.6257771085822222,0.004147337427104936,8.389477245563473,0.003882803983537396
v_t,task,Task-aligned,7183.837597678542,2997.35359536898,2.396726768832957,0.01678383358887373,True,True,0.6216297711551173,0.624479313009189,0.0028495418540717132,5.744299204440503,0.016783833588874395
delta_rep,blind,Weak blind,41466.86096232031,37206.40944558528,1.1145085371101442,0.2654147972055355,True,False,0.5734713258209762,0.5741700521699837,0.0006987263490075835,1.2421292792914098,0.2654147972055341
delta_rep,coarse,Coarse score,10952.788393215527,3620.475999300758,3.0252343601589677,0.0025684783340091492,True,True,0.5734713258209762,0.57856640945956,0.005095083638583797,9.15204293388639,0.002568478334009359
delta_rep,task,Task-aligned,9449.591480621966,3269.693328238838,2.890054366570158,0.003961906227299491,True,True,0.5734713258209762,0.5781261019821635,0.004654776161187368,8.352414241731148,0.003961906227299959
