channel,label,pearson_excess_with_gap,spearman_excess_with_gap,pearson_excess_with_vt,spearman_excess_with_vt
blind,Weak blind,0.9055672181124655,0.9389082563789916,0.9109128975506896,0.9483625737325208
coarse,Coarse score,0.7662804081402719,0.9266176438194036,0.7680919036390239,0.9360719611729329
task,Task-aligned,0.8868605589175824,0.9515770416327209,0.8897582401376221,0.9411772925438386
