channel,y_col,fr_mid,y_median,y_q25,y_q75,n
coarse,v_t,0.0033227404759282606,1422.0046951728,1159.1638124663295,1752.8785397402826,76
coarse,v_t,0.005613055330630583,1468.5955430238682,1091.9403623727121,1874.1723904923565,76
coarse,v_t,0.013024217768999584,1588.5426762991701,1042.6867576806108,6770.1904970386095,76
coarse,v_t,0.02181543037637782,5891.754931748175,732.4611377577821,17790.81502090991,76
coarse,v_t,0.026353337526746075,4274.308103773568,1020.4180811770348,6372.583364146267,76
coarse,v_t,0.03158944214214804,3850.696511451184,2451.576757449089,17086.78688324621,76
coarse,v_t,0.0398059493665937,3997.2505941148847,1848.9359292589215,14774.494111145716,76
coarse,v_t,0.05320034812179887,4612.563332746562,3159.196922879695,10117.614957770566,76
coarse,v_t,0.07584632263056834,4418.721091768792,2708.8909258189087,5900.666286583146,76
coarse,v_t,0.14120291836501747,10493.157311122428,8472.844080785173,20927.56571322652,76
task,v_t,0.018931349224726224,1371.1972431262548,1100.7472660626227,1662.370801484154,76
task,v_t,0.023230627470254082,1523.2268917654583,1107.2623890522518,1846.8520136810985,76
task,v_t,0.03402837244227696,1044.693257719162,459.70532612569514,1688.042545114964,76
task,v_t,0.04645121914737009,2942.56900223103,524.0666335725546,4566.26429432584,76
task,v_t,0.057944563941132565,3820.7810318266565,2163.1975308771944,6131.250379835779,76
task,v_t,0.06797087505553363,4256.490004029765,2533.5104410409986,7849.829409762795,76
task,v_t,0.082786916534826,5688.850794598169,4123.323765032939,19665.24896277275,76
task,v_t,0.0967218476905262,9100.91487305105,4402.542148374036,16775.9418206188,76
task,v_t,0.12380959999124061,11288.755736853142,6007.255939283059,16628.016319488524,76
task,v_t,0.19890475950420317,10651.894816159707,5700.26817035352,20927.56571322652,76
