mu,seed,Rhat_T,R_T,Rplus_T,Delta_rep_T,V_T,A_T_null,A_T_coarse,A_T_task_no_qty,A_T_task_no_cost,A_T_task_no_group,A_T_task,A_rate_null,A_rate_coarse,A_rate_task_no_qty,A_rate_task_no_cost,A_rate_task_no_group,A_rate_task
0.1,4,340871.3736372163,339663.3606587739,344949.9495822051,4078.5759449888137,5920.750231293207,0.0,1.0803350995435184,1.4737809742944783,1.9257113975832254,2.138342676432507,2.423107149782629,0.0,0.056859742081237806,0.07756741969970939,0.10135323145174871,0.11254435139118459,0.12753195525171732
0.1,5,338660.5824285278,345144.3070914299,350158.55251397204,11497.97008544422,5286.734852289318,0.0,1.0633716666031172,1.3217112282654273,1.831154246942648,2.0454144878431206,2.268423916848584,0.0,0.0559669298212167,0.06956374885607512,0.09637653931277095,0.10765339409700635,0.11939073246571495
0.1,6,346780.84244130406,340687.38634377887,346279.5981520253,501.24428927875124,5965.600165003476,0.0,1.0412266457060932,1.3494970542147782,1.9421243554062761,2.099235945868916,2.376346221307286,0.0,0.05480140240558386,0.07102616074814622,0.10221707133717244,0.11048610241415346,0.12507085375301505
0.1,7,338933.2931989898,340285.6921193632,345298.98836600943,6365.695167019614,5467.376390466485,0.0,1.1091446765024244,1.384273881314541,1.914918528442597,2.11414497909095,2.3792035142593706,0.0,0.05837603560539076,0.07285652006918637,0.1007851857075051,0.1112707883732079,0.12522123759259846
0.1,8,339652.3435306706,341035.25849385496,346381.73744560074,6729.393914930115,6224.660999679681,0.0,1.1128897475800807,1.4331884541666704,1.986180877074307,2.218094742788165,2.4852870837213947,0.0,0.058573144609477934,0.07543097127193002,0.10453583563548985,0.11674182856779816,0.1308045833537576
0.1,9,351980.8810549352,346498.71813592844,353113.5944156202,1132.713360684982,7248.06658814898,0.0,1.0875611908497058,1.4445978787875158,1.903573329681434,2.130138582252455,2.425181029610787,0.0,0.05724006267630031,0.0760314673046061,0.10018806998323336,0.11211255696065552,0.12764110682162036
0.2,0,399637.38219241536,393158.1907018937,411030.4709891616,11393.088796746219,18385.151013141298,0.0,1.2986383944309088,1.7794016281164635,2.7993359502282305,2.953912744983253,3.2688140243290875,0.0,0.06834938918057415,0.09365271726928755,0.1473334710646437,0.15546909184122384,0.17204284338574144
0.2,1,407626.50463588146,401974.3374757695,420540.48189567064,12913.977259789186,18566.144419901135,0.0,1.3771126221071144,1.8623635668082348,2.8291659327393193,3.0498612305969304,3.3813312463629868,0.0,0.07247961168984812,0.09801913509517025,0.1489034701441747,0.16051901213668054,0.1779648024401572
0.2,2,383955.5389293919,390294.4775103541,407491.2658953051,23535.7269659132,17285.924730844963,0.0,1.426201261748857,1.8405215990522772,2.8873996276716043,3.0709363531763882,3.3733784075268805,0.0,0.07506322430257142,0.0968695578448567,0.15196840145640023,0.16162822911454675,0.17754623197509897
0.2,3,385800.93153438973,386140.0721848995,405627.932255672,19827.000721282267,19535.44236808379,0.0,1.3640488584714732,1.7596368158452251,2.8362620671746632,2.9847348628851726,3.291253266832493,0.0,0.07179204518270911,0.09261246399185395,0.14927695090392964,0.15709130857290382,0.1732238561490786
0.2,4,387623.8501608866,387449.03755891835,405191.7390875326,17567.888926646032,19072.20619159733,0.0,1.331818249454725,1.6411184300226713,2.9060692047410046,3.025177930442836,3.2757054226812783,0.0,0.07009569733972237,0.08637465421171954,0.15295101077584236,0.15921989107593873,0.17240554856217255
0.2,5,382294.6857249809,391011.9812302561,407633.0481765895,25338.362451608584,17134.275895788152,0.0,1.3078561274967715,1.6922794762805211,2.619941703808772,2.83609492726143,3.08040469395234,0.0,0.06883453302614587,0.08906734085686953,0.1378916686215143,0.14926815406639105,0.16212656283959684
0.2,6,387727.0716863336,380315.81731916335,398074.1586876575,10347.087001323875,19512.651425920256,0.0,1.2749288875502198,1.6079157663514902,2.6940687937167622,2.8798055755695073,3.1277393653722476,0.0,0.06710152039737999,0.08462714559744686,0.14179309440614538,0.15156871450365828,0.16461786133538145
0.2,7,379970.76732733083,383857.94870132813,400636.69933688344,20665.932009552605,17075.512626844877,0.0,1.3342812445219066,1.739330213815684,2.750821616619186,2.9344412532490596,3.208078972290921,0.0,0.07022532865904771,0.09154369546398337,0.14478008508522033,0.1544442764867926,0.16884626169952216
0.2,8,387581.92832411453,388893.86897253647,406652.6005393308,19070.67221521627,18655.133292583003,0.0,1.3762824207365358,1.7927907464441781,2.797513173243633,3.0019222602573095,3.2624783673303153,0.0,0.07243591688087031,0.09435740770758833,0.14723753543387544,0.15799590843459524,0.17170938775422712
0.2,9,397276.8684381025,389971.97128430265,411203.75321558525,13926.884777482774,22126.020652947667,0.0,1.4072234529594754,1.8919472214125137,2.7769840878780494,2.9468038194892867,3.2502217968085856,0.0,0.07406439226102501,0.09957616954802703,0.14615705725673944,0.1550949378678572,0.17106430509518872
