round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
7,0.0,1,535.8798803085228,1238.0183386618155,0.002294384343633449,blind,Weak blind,-0.9805973311924938
8,0.0,1,624.6150857666507,1803.611657280766,0.0022390879558407194,blind,Weak blind,-0.9900011715029452
9,0.0,1,2209.3437926530605,1923.8817785187275,0.004878941663293384,blind,Weak blind,-0.5410611286037588
10,0.0,1,1360.4077167546493,1179.2699195637833,0.0040668897751074415,blind,Weak blind,-0.6791606787755553
11,0.0,1,5231.737013291509,1993.1497378033819,0.0018051254379411713,blind,Weak blind,-1.0638019093440043
12,0.0,1,1481.2662535221898,1417.51927658997,0.0016604967151830552,blind,Weak blind,-1.0883978272223997
13,0.0,1,1529.3775170851732,1672.796722177125,0.0022388897670616212,blind,Weak blind,-0.9900348759763178
14,0.0,1,1918.9397905229125,2323.7769142716425,0.00291922167368883,blind,Weak blind,-0.8743359512652101
15,0.0,1,42.81658424407942,1316.3795614570263,0.0032443184777315,blind,Weak blind,-0.8190491856610137
16,0.0,1,760.3289182653534,1395.3681229301146,0.0035750074797696357,blind,Weak blind,-0.7628113970509219
17,0.0,1,2185.3977194229956,989.0102007683017,0.0030454658951786675,blind,Weak blind,-0.8528665470889795
18,0.0,1,3562.7873673359863,1521.0206856499426,0.004642766203919205,blind,Weak blind,-0.5812257106651987
0,0.0,2,1646.072852475394,1283.339518240944,0.0015020474907643994,blind,Weak blind,-1.1153440937549097
1,0.0,2,177.18241904873867,1749.806555279065,0.002347958624795619,blind,Weak blind,-0.9714863565898723
2,0.0,2,1996.314441895811,1292.6689479011693,0.0021242150218483235,blind,Weak blind,-1.0095367464360976
3,0.0,2,2605.5652125594206,1447.76020547183,0.0022939160728285587,blind,Weak blind,-0.9806769664823746
4,0.0,2,1527.5154998683138,1808.3968696091324,0.00223897769577583,blind,Weak blind,-0.9900199226019633
5,0.0,2,585.546079584572,1076.9321862016222,0.0042778105790183376,blind,Weak blind,-0.6432909658104908
6,0.0,2,2252.118816794886,1764.1176046176115,0.0021243420519442844,blind,Weak blind,-1.0095151433841674
