mu,Delta_rep_T_mean,Delta_rep_T_std,V_T_mean,V_T_std,A_rate_blind_mean,A_rate_blind_std,A_rate_blind_excess_mean,A_rate_blind_excess_std,A_rate_coarse_mean,A_rate_coarse_std,A_rate_coarse_excess_mean,A_rate_coarse_excess_std,A_rate_task_mean,A_rate_task_std,A_rate_task_excess_mean,A_rate_task_excess_std
0.0,1615.215134792328,262.14417642284377,1486.3476919852615,115.92247218626629,0.0030547658715407208,0.0002757612256238751,0.0,0.0,0.005426652053390406,0.0005302371282265825,0.0,0.0,0.05009092148524489,0.0011972995482795834,0.0,0.0
0.05,3007.545364682169,303.7620037182299,2629.473146960044,122.2346044828241,0.0064259986369205975,0.00017203809576419696,0.0033712327653798767,0.0002785008412250734,0.0431083012711034,0.0005802639302856483,0.03768164921771299,0.0008615924283171843,0.09795520330582551,0.002922677383956656,0.04786428182058062,0.0033061647035660126
0.1,5100.936961302201,592.5171098439878,5075.860770701833,143.7836950171921,0.009448639255282772,0.00028468166019588506,0.006393873383742051,0.00033801807045308357,0.0568000545162762,0.0005957018498535879,0.0513734024628858,0.0008503013626003913,0.12553404435071558,0.001295386025487918,0.07544312286547068,0.002172258602205612
0.2,15854.949479514902,950.0120870764765,15795.988473417976,191.1526731641954,0.013312536452199816,0.00025669618870291896,0.010257770580659095,0.00040969105609795387,0.07000843347020064,0.0009446003355637453,0.06458178141681023,0.0008135795869699948,0.16811622642054685,0.0016411815349197548,0.11802530493530194,0.0014906410035348287
