mu,Delta_rep_T_mean,Delta_rep_T_std,V_T_mean,V_T_std,A_rate_null_mean,A_rate_null_std,A_rate_coarse_mean,A_rate_coarse_std,A_rate_task_no_qty_mean,A_rate_task_no_qty_std,A_rate_task_no_cost_mean,A_rate_task_no_cost_std,A_rate_task_no_group_mean,A_rate_task_no_group_std,A_rate_task_mean,A_rate_task_std
0.0,2883.2372103981907,2365.6207072150723,1479.0203850570788,109.67016056920178,0.0,0.0,0.005667013546068031,0.0005592236322681881,0.017557434909880796,0.0011020489038201416,0.03465752995678457,0.0006007581356057526,0.03809548049307534,0.0009348570926596386,0.05013352831889447,0.0012573000708967093
0.05,3330.73513634837,2768.490658861489,3056.2323927312495,267.44287439971254,0.0,0.0,0.042755812852042295,0.0015132150615565318,0.05731412696968645,0.0019199990595285907,0.06799220889850667,0.0015788801625093813,0.07984950849386344,0.0032867881329172663,0.09503947501566357,0.0042246772543511855
0.1,4817.8754375642575,4196.74635025028,5991.981380890016,589.1526335649393,0.0,0.0,0.05715851587048376,0.0012041924350729013,0.07341660758768315,0.0025356428363450642,0.10129103721554744,0.00248236673981132,0.11169736432629156,0.0026367807693866807,0.1257921665152093,0.0030353737829508713
0.2,17458.6621125561,5142.630125384382,18734.846261765248,1506.7071867525933,0.0,0.0,0.0710441658919894,0.002562339125488312,0.09267002875868031,0.004902694258328721,0.14682927451484856,0.004527637861895407,0.15622995241005883,0.0038813982786769464,0.17115476612361652,0.004986050113441419
