target,reduced_model,full_model,delta_r2,partial_f,partial_f_p_value
v_t,mu_only,mu_plus_fr,0.0010352707517461424,6.24726506560253,0.01250841282227091
v_t,mu_plus_fr,mu_plus_fr_channel_interactions,0.0014009593655858188,8.470584327979973,0.0036444557909632485
delta_rep,mu_only,mu_plus_fr,0.0014647418572522053,7.846389578964624,0.005135250274448407
delta_rep,mu_plus_fr,mu_plus_fr_channel_interactions,0.0018990977722465052,10.20086945766998,0.0014229517757070335
