target,channel,channel_label,standardized_fr_coef_controlling_mu,standardized_fr_std_err,standardized_fr_t,standardized_fr_p_value,standardized_fr_positive,standardized_fr_positive_p_lt_0_05,r2_mu_only,r2_mu_plus_standardized_fr,delta_r2_from_standardized_fr,partial_f_for_standardized_fr,partial_f_p_value
v_t,blind,Weak blind,200.65313138469313,200.24753730976482,1.0020254634857302,0.31665147992792314,True,False,0.6216297711551173,0.6221309617869539,0.0005011906318366233,1.004055029474015,0.3166514799279054
v_t,coarse,Coarse score,492.4770114697453,170.02724288193005,2.8964594327494337,0.00388280398353799,True,True,0.6216297711551173,0.6257771085822224,0.004147337427105047,8.389477245563581,0.0038828039835372133
v_t,task,Task-aligned,476.62776335349724,198.86612422891432,2.396726768832947,0.01678383358887417,True,True,0.6216297711551173,0.624479313009189,0.0028495418540717132,5.744299204440716,0.016783833588872085
delta_rep,blind,Weak blind,243.83310951922877,218.78083603690942,1.1145085371101375,0.2654147972055384,True,False,0.5734713258209762,0.5741700521699837,0.0006987263490075835,1.2421292792914098,0.2654147972055341
delta_rep,coarse,Coarse score,561.7868681824827,185.70028014390525,3.025234360158938,0.002568478334009399,True,True,0.5734713258209762,0.5785664094595601,0.005095083638583908,9.15204293388648,0.002568478334009254
delta_rep,task,Task-aligned,626.9542693265483,216.93511256350533,2.890054366570163,0.003961906227299434,True,True,0.5734713258209762,0.5781261019821635,0.004654776161187368,8.352414241731328,0.003961906227299389
