round,mu,seed,empirical_loss,preq_target,v_t,fr_step_null,fr_step_coarse,fr_step_task_no_qty,fr_step_task_no_cost,fr_step_task_no_group,fr_step_task
8,0.0,1,340123.7128952656,328876.1139009149,1537.1314768684679,0.0,0.004461343129213457,0.013683560451556264,0.022705447515060838,0.026921949626616617,0.03705461457266081
9,0.0,1,332612.9317506779,331808.0342516783,2727.8865114469663,0.0,0.0034362194500514396,0.03246321806581189,0.0249018503240216,0.03696816508942177,0.04625680667814777
10,0.0,1,344442.04288941046,332886.48556822643,1267.777966600319,0.0,0.008111247973039342,0.015923727611528087,0.02575216368277884,0.02363119576058618,0.038270572304619
11,0.0,1,333326.01222269103,334333.11668068205,1483.70640666096,0.0,0.013158940730031961,0.027007943959041925,0.030014100918995767,0.03742378816474613,0.04540915460411957
12,0.0,1,327882.03126121487,335152.398799099,902.9891250181245,0.0,0.0048882784636493076,0.028703167083977146,0.029742010677135743,0.028555821694406264,0.04760879828126582
13,0.0,1,332540.86273578275,337022.7175473441,1667.5239733519848,0.0,0.006723227600971452,0.017743533296715228,0.02852600694234014,0.02854155471427468,0.04093343301262045
14,0.0,1,333402.0532175209,338582.5845384042,1598.9767176505993,0.0,0.013576385386606077,0.02067020426659876,0.025963667645062298,0.03272531539482532,0.04321034957315667
15,0.0,1,347344.6242139997,339410.4199147122,889.6462069308036,0.0,0.0028124070693421126,0.015832692437973386,0.021045682386070637,0.024025761495029215,0.0405834880825512
16,0.0,1,368373.53482798237,340145.16802758316,669.1596860084683,0.0,0.004731012420136842,0.02363254769847258,0.02392703258321939,0.03378040713275585,0.04314562176312135
17,0.0,1,349624.01976827654,342309.6750745585,2274.5649048878113,0.0,0.0027413749035612,0.013083965639477916,0.019681323468328252,0.025139126832739833,0.03496829065733979
18,0.0,1,348698.80095822294,344302.6783757514,2002.8235300187953,0.0,0.009518615953459179,0.0165243109411207,0.024424957566154114,0.02454332627159113,0.04113774520237808
0,0.0,2,291083.520720738,315069.33841204795,1372.324254224135,0.0,0.0014283163741583317,0.012703713953285165,0.18487052927292402,0.1839183500026036,0.1912316104730674
1,0.0,2,314935.9942304728,317069.4409205237,1876.9763989978237,0.0,0.007136850568260894,0.015103142456102524,0.03058524464664209,0.04127760134351444,0.053841430574390385
2,0.0,2,305344.72619110666,318514.7321476655,1394.8076779705589,0.0,0.0035815601778061744,0.016079358423155304,0.026064977012646567,0.027229843104692442,0.04021338183535368
3,0.0,2,335100.69470756856,319900.32157397567,1514.0330923659494,0.0,0.007206423039567944,0.022489573940245585,0.03401504151290632,0.03463567935393718,0.05082261713826586
4,0.0,2,311136.75377034274,320824.78558263526,890.2956936785486,0.0,0.002271423315217185,0.014883831255309796,0.0314818450369732,0.02793973998702326,0.04472727841442978
5,0.0,2,310090.3297611907,323603.39616140106,2833.484193979006,0.0,0.005180666312001781,0.01111478770114686,0.02466012809553877,0.028571261345843736,0.037138370574406845
6,0.0,2,316872.49833422585,324816.4487042004,1248.4500924854656,0.0,0.013813673221241522,0.02017819937734913,0.028032910697788297,0.027918908085631532,0.04517339919744149
7,0.0,2,336193.8645297989,326126.39047874644,1254.7610729086446,0.0,0.005662702164134121,0.011496793119696359,0.025708103663008023,0.03144240375456693,0.03928099796399942
8,0.0,2,313564.15527448617,328133.6264319352,2073.1030239318497,0.0,0.003042487111877713,0.023348674067415948,0.021740344494122908,0.032258033764245096,0.0368156767297304
9,0.0,2,342318.66315704526,330387.0955125699,2021.7355229751556,0.0,0.005389333776917551,0.020019328571322343,0.022216203437933082,0.023428385391386652,0.03663879312603616
10,0.0,2,311902.5566644794,331668.82036431314,1521.3954803530942,0.0,0.004019075028494756,0.01603679363223761,0.02015225775650078,0.017701976612804985,0.03053029555313684
11,0.0,2,322173.47312485316,332987.7052194856,1276.364311380661,0.0,0.00855215377564567,0.013700108525651173,0.030489059768078634,0.03036257484754827,0.043670253059239654
12,0.0,2,320203.682756189,334841.2840686165,1854.0261371613014,0.0,0.00846842727254488,0.01420970179751265,0.029390215074794845,0.023705704467725477,0.03967213412142926
13,0.0,2,309185.17069118796,336547.52481878054,1689.4607989903307,0.0,0.0035917536855024404,0.020089866122471357,0.022321757374613744,0.026248202356760154,0.03721662561814857
