mu,target,target_role,channel,predictor,n_steps,pearson,spearman,slope
0.1,mean_abs_delta_y,target_motion,coarse,fr_step_coarse,190,0.944029320571596,0.9650574953964318,537.1344650390163
0.1,mean_abs_delta_y,target_motion,task,fr_step_task,190,0.800707704503011,0.7992713021646614,416.2842416461192
0.1,mean_abs_delta_y,target_motion,task_no_cost,fr_step_task_no_cost,190,0.8026959208572164,0.7931407926447883,378.26009558548606
0.1,mean_abs_delta_y,target_motion,task_no_group,fr_step_task_no_group,190,0.7927004977502866,0.7711503890616594,398.5048292634493
0.1,mean_abs_delta_y,target_motion,task_no_qty,fr_step_task_no_qty,190,0.9204736699756189,0.8458187353199754,561.7128162810744
0.1,mean_abs_delta_pred,prediction_motion,blind,fr_step_blind,190,0.8446295799209719,0.8279468304268526,2558.678725594235
0.1,mean_abs_delta_pred,prediction_motion,coarse,fr_step_coarse,190,0.8691706395581689,0.9557567566385423,246.58289408545554
0.1,mean_abs_delta_pred,prediction_motion,task,fr_step_task,190,0.7195657683898503,0.7842284594557949,186.5291967250758
0.1,mean_abs_delta_pred,prediction_motion,task_no_cost,fr_step_task_no_cost,190,0.7189410872460049,0.7805805963425143,168.92469276035152
0.1,mean_abs_delta_pred,prediction_motion,task_no_group,fr_step_task_no_group,190,0.7070466038982307,0.7552922445730383,177.22821363965082
0.1,mean_abs_delta_pred,prediction_motion,task_no_qty,fr_step_task_no_qty,190,0.8390580917892325,0.8362975501581178,255.30266873948935
0.1,mean_abs_delta_error,error_motion,blind,fr_step_blind,190,0.8459764267364882,0.8354332602885923,2068.980983421484
0.1,mean_abs_delta_error,error_motion,coarse,fr_step_coarse,190,0.868170869088872,0.9673161962497868,198.8437172579586
0.1,mean_abs_delta_error,error_motion,task,fr_step_task,190,0.7450666023195589,0.8056834932007156,155.92659241045536
0.1,mean_abs_delta_error,error_motion,task_no_cost,fr_step_task_no_cost,190,0.7432384884150505,0.7989773736260373,140.98626037371417
0.1,mean_abs_delta_error,error_motion,task_no_group,fr_step_task_no_group,190,0.732493937524171,0.7788380200063859,148.23051592871929
0.1,mean_abs_delta_error,error_motion,task_no_qty,fr_step_task_no_qty,190,0.8414686126051328,0.845279866332498,206.70453827112573
0.1,mean_abs_delta_loss,loss_motion,blind,fr_step_blind,190,0.8527194482740045,0.8308056353798984,1136183.4462022872
0.1,mean_abs_delta_loss,loss_motion,coarse,fr_step_coarse,190,0.8769321697256172,0.9590739501458708,109425.04103609761
0.1,mean_abs_delta_loss,loss_motion,task,fr_step_task,190,0.7523929949376348,0.8016087338765763,85785.49997034876
0.1,mean_abs_delta_loss,loss_motion,task_no_cost,fr_step_task_no_cost,190,0.7504037722583954,0.7951353077283088,77551.04603916589
0.1,mean_abs_delta_loss,loss_motion,task_no_group,fr_step_task_no_group,190,0.7407819410929071,0.7798335279735116,81671.02833889719
0.1,mean_abs_delta_loss,loss_motion,task_no_qty,fr_step_task_no_qty,190,0.8505210136177507,0.8410091546492761,113825.92561859803
0.2,v_t,within_step_risk_shift,blind,fr_step_blind,190,-0.05717687480873046,-0.44970104143430134,-53949.69219165105
0.2,v_t,within_step_risk_shift,coarse,fr_step_coarse,190,0.05702029893380691,-0.49209848355618546,5372.979657984821
0.2,v_t,within_step_risk_shift,task,fr_step_task,190,0.019489048308415937,-0.3793401479265354,1905.0510258163838
0.2,v_t,within_step_risk_shift,task_no_cost,fr_step_task_no_cost,190,-0.016777445329243874,-0.3986851946620478,-1546.1221181398407
0.2,v_t,within_step_risk_shift,task_no_group,fr_step_task_no_group,190,0.014846056233608743,-0.3698994431978726,1433.3292954880158
0.2,v_t,within_step_risk_shift,task_no_qty,fr_step_task_no_qty,190,0.12132527496953072,-0.3539083310370167,11894.627873772426
0.2,eval_within_step_drift,diagnostic_heldout_step_shift,blind,fr_step_blind,190,-0.02118001716827177,-0.4035752557659419,-21945.523215280013
0.2,eval_within_step_drift,diagnostic_heldout_step_shift,coarse,fr_step_coarse,190,0.09364341541222139,-0.43994191412212913,9689.78243908753
0.2,eval_within_step_drift,diagnostic_heldout_step_shift,task,fr_step_task,190,0.04017030817498081,-0.3828970331588133,4311.935128091914
0.2,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_cost,fr_step_task_no_cost,190,0.01703562784553895,-0.3670056467521334,1723.9599773927703
