regime,gamma,T,seed_idx,err_T,traj_emp_risk,traj_emp_risk_excess,traj_pop_risk,traj_pop_risk_excess,traj_gap,traj_gap_abs,gap_abs
iid,,500,0,0.14376037197100036,5.018745665233763,0.018745665233763198,5.076039025565931,0.07603902556593134,0.05729336033216814,0.03834144620123947,0.03834144620123947
iid,,500,1,0.11380736410374431,5.075630375658708,0.075630375658708,5.0517286317266805,0.05172863172668052,0.023901743932027486,0.10545506678079608,0.10545506678079608
iid,,500,2,0.10626089497897487,5.029320937360432,0.029320937360432175,5.090622398816746,0.09062239881674561,0.06130146145631343,0.013544318371910613,0.013544318371910613
iid,,500,3,0.12482090555742237,5.0553267670396655,0.05532676703966555,5.087771649792738,0.08777164979273788,0.032444882753072335,0.05631274093251282,0.05631274093251282
iid,,500,4,0.049339938392005796,4.983833260833169,-0.01616673916683098,5.06395367944436,0.06395367944436003,0.08012041861119101,0.002397867172837742,0.002397867172837742
iid,,500,5,0.06535268768595806,5.057244674128764,0.05724467412876422,5.063558257075395,0.0635582570753952,0.00631358294663098,0.015553403197261062,0.015553403197261062
iid,,500,6,0.06244079806850651,5.149066500714663,0.149066500714663,5.064170470981953,0.06417047098195283,0.08489602973271015,0.01275497477912868,0.01275497477912868
iid,,500,7,0.1288380550882352,4.908289818940303,-0.09171018105969697,5.087313542256291,0.0873135422562914,0.17902372331598837,0.05054549048237256,0.05054549048237256
iid,,500,8,0.08839731469174106,5.298793631151463,0.2987936311514634,5.065868471582084,0.06586847158208364,0.23292515956937976,0.07111008553906473,0.07111008553906473
iid,,500,9,0.08949878138963609,5.124979154395629,0.12497915439562934,5.064537142928426,0.06453714292842605,0.060442011467203294,0.015620567971818211,0.015620567971818211
iid,,500,10,0.10819389017322492,5.021733577764596,0.02173357776459639,5.102471497563827,0.10247149756382701,0.08073791979923062,0.05483124007428142,0.05483124007428142
iid,,500,11,0.039331636047286164,5.11854910302421,0.11854910302421029,5.055175924964868,0.05517592496486756,0.06337317805934273,0.02475727419276108,0.02475727419276108
iid,,500,12,0.07310158297306124,5.0433878416971245,0.04338784169712451,5.038238012769746,0.03823801276974592,0.005149828927378586,0.03314206521111096,0.03314206521111096
iid,,500,13,0.07697451405375105,5.114913601601425,0.11491360160142516,5.082836882994214,0.0828368829942141,0.03207671860721106,0.03587135312717038,0.03587135312717038
iid,,500,14,0.12505774497571442,5.010783047985204,0.010783047985204242,5.081996871989308,0.08199687198930761,0.07121382400410337,0.0028105053274449787,0.0028105053274449787
iid,,500,15,0.043524377563953574,4.992605580219537,-0.0073944197804634015,5.054292042524707,0.05429204252470665,0.06168646230517005,0.051463612038760154,0.051463612038760154
iid,,500,16,0.04509778209818159,5.151123613964375,0.15112361396437457,5.057157671399989,0.05715767139998906,0.09396594256438551,0.09432761452299854,0.09432761452299854
iid,,500,17,0.07049244194135082,5.1524600446060145,0.15246004460601448,5.05685099954636,0.05685099954636019,0.09560904505965429,0.0049765872792235655,0.0049765872792235655
iid,,500,18,0.07446811471791166,5.1351997301929275,0.13519973019292753,5.094160351912217,0.09416035191221717,0.04103937828071036,0.011635790927289058,0.011635790927289058
iid,,500,19,0.11205079180586779,4.85205826348871,-0.1479417365112896,5.049518416615858,0.04951841661585821,0.19746015312714782,0.020510319574124303,0.020510319574124303
