T,C_exo_ratio,gamma,regime,mean_err_T,se_err_T,n,mean_sum_dt,se_sum_dt,mean_sum_kappa,se_sum_kappa,mean_gen_gap_traj,se_gen_gap_traj,mean_traj_emp_risk,se_traj_emp_risk,mean_traj_pop_risk,se_traj_pop_risk,mean_pop_mse_initial,se_pop_mse_initial,mean_pop_mse_final,se_pop_mse_final,mean_C_over_T(alpha_opt)
800,0.0025,0.0,mixed,0.0801646551117301,0.007691811924990516,12,1.9356295015466332,0.03459467867616676,0.0,0.0,0.0007008127084020708,0.000161798987478026,0.02557075513241083,0.0008356561053842202,0.02559137514323084,0.0007568498232451696,0.17392986786862216,0.029941512833969047,0.02228048654350763,0.002339757929337247,0.0024195368769332915
800,0.0025,0.01,mixed,0.09660686956097682,0.009007160379747178,12,1.9356295015466332,0.03459467867616676,15.63408377607931,0.2755471516526649,0.001001663194040229,0.0002021572213377124,0.02868249113278278,0.000881088284155422,0.028852632987824728,0.0008891805649952432,0.17392986786862216,0.029941512833969047,0.027198856648368144,0.0033614956628509637,0.03460952211487229
800,0.005,0.0,mixed,0.07893946828941505,0.007436998404015148,12,3.8712590030932663,0.06918935735233352,0.0,0.0,0.0007391311674475268,0.0001604082181699036,0.025577633577573172,0.0008251544407422586,0.025625363102632647,0.0007502659610351663,0.17392986786862216,0.029941512833969047,0.022127863088001812,0.0022555467524960574,0.004839073753866583
800,0.005,0.01,mixed,0.09594861666361491,0.009599802051916994,12,3.8712590030932663,0.06918935735233352,15.63408377607931,0.2755471516526649,0.0009532619854043042,0.00020287474186093403,0.028667583774307583,0.000885098950784709,0.028843738356748277,0.0008887494685123505,0.17392986786862216,0.029941512833969047,0.027216635964966072,0.0035615391488594376,0.03702905899180558
800,0.01,0.0,mixed,0.07800980315854152,0.0072977719594980355,12,7.742518006186533,0.13837871470466703,0.0,0.0,0.0007906692989232677,0.00015674927528481876,0.02562955597602068,0.000829814491025144,0.025731953495790858,0.0007659604049751762,0.17392986786862216,0.029941512833969047,0.021931964429095393,0.0022025344274848473,0.009678147507733166
800,0.01,0.01,mixed,0.0938942910482486,0.00937393170622593,12,7.742518006186533,0.13837871470466703,15.63408377607931,0.2755471516526649,0.0009201347399978857,0.00017518908889500756,0.028773223853854887,0.0008931546832692754,0.028881616836830905,0.0008993526135080771,0.17392986786862216,0.029941512833969047,0.026687833413016056,0.0035608659300319185,0.04186813274567216
800,0.02,0.0,mixed,0.07768077620615561,0.007526029622420317,12,15.485036012373065,0.27675742940933407,0.0,0.0,0.0008645078197139257,0.00011096248578613206,0.025941128925880592,0.0008129967999866354,0.026043499381576126,0.0007809563194195429,0.17392986786862216,0.029941512833969047,0.02232235426626479,0.0022326218265248735,0.019356295015466332
800,0.02,0.01,mixed,0.09721532526115577,0.008345754234401082,12,15.485036012373065,0.27675742940933407,15.63408377607931,0.2755471516526649,0.0011026646881344268,0.00017436212130518487,0.02912789116958106,0.0009141360889717092,0.0292667613216933,0.0009554581445902131,0.17392986786862216,0.029941512833969047,0.027499331850558525,0.0035750266170147603,0.05154628025340533
800,0.04,0.0,mixed,0.08243400386224191,0.006269798292175298,12,30.97007202474613,0.5535148588186681,0.0,0.0,0.000910775818682332,0.00014167807651051988,0.027139698442381868,0.0007595121005805445,0.027364944683625565,0.0007763613994226924,0.17392986786862216,0.029941512833969047,0.023968297784837587,0.002484542847696268,0.038712590030932664
800,0.04,0.01,mixed,0.09605906841655572,0.007013577876424342,12,30.97007202474613,0.5535148588186681,15.63408377607931,0.2755471516526649,0.0010841243845611224,0.0001529090841958321,0.0306413212349731,0.0009313802980859677,0.030721755196063905,0.0009841212068255375,0.17392986786862216,0.029941512833969047,0.02814717438537628,0.0031013538880294506,0.07090257526887166
