T,C_exo_total,C_exo_ratio,gamma,seed,regime,err_T,sum_dt,sum_kappa,gen_gap_traj,traj_emp_risk,traj_pop_risk,pop_mse_initial,pop_mse_final
800,2.0444375719787886,0.0025,0.0,0,mixed,0.09368386119604111,2.0444375719787855,0.0,0.0007650925149909789,0.024068689149205034,0.023303596634214056,0.10191503375768662,0.02820945739746094
800,1.9053433513168854,0.0025,0.0,1,mixed,0.056502848863601685,1.9003262044108542,0.0,0.0011401374692502908,0.022779021328620922,0.023919158797871213,0.09953393995761872,0.01565975205972791
800,1.9579656514081705,0.0025,0.0,2,mixed,0.05300493538379669,1.9238096562121565,0.0,0.0021093843164669487,0.02900095196619418,0.026891567649727232,0.20320087134838105,0.014102771636098625
800,1.9440458916932264,0.0025,0.0,3,mixed,0.08916661143302917,1.9440458916932255,0.0,3.5622913282108704e-05,0.025372701981969902,0.02540832489525201,0.03954025194048882,0.022526128441095354
800,1.9817638365329535,0.0025,0.0,4,mixed,0.040531545877456665,1.9817638365329509,0.0,0.0007579950641622181,0.025439399063213238,0.026197394127375456,0.2365881896018982,0.013056051442399623
800,1.8193579842456125,0.0025,0.0,5,mixed,0.047136176377534866,1.8193579842456116,0.0,0.000410269853903876,0.022497637031641062,0.022087367177737186,0.10456148743629456,0.013377178218215706
800,1.8959130292688324,0.0025,0.0,6,mixed,0.08478367328643799,1.8959130292688349,0.0,0.0009644079084724852,0.02507142509886342,0.026035833007335904,0.1737733578681946,0.023309714384377005
800,1.9482381428590632,0.0025,0.0,7,mixed,0.11486455798149109,1.9482381428590643,0.0,0.00018406096202172248,0.026300831010628363,0.026484891972650085,0.34182966709136964,0.03476481720805168
800,1.9779585639709403,0.0025,0.0,8,mixed,0.098245769739151,1.9779585639709383,0.0,0.0007964095001305078,0.028336885541889182,0.027540476041758674,0.18192749679088593,0.026349593177437784
800,2.198811664461581,0.0025,0.0,9,mixed,0.06912370771169662,2.1988116644615836,0.0,0.0005530485408263633,0.022980979515120337,0.0235340280559467,0.0684477074444294,0.015859637167304756
800,1.836384381987942,0.0025,0.0,10,mixed,0.09294608980417252,1.7029155451967937,0.0,9.575511780817586e-05,0.031874902099217124,0.0319706572170253,0.37495235562324525,0.023905877247452738
800,1.889975927728796,0.0025,0.0,11,mixed,0.12198608368635178,1.889975927728797,0.0,0.000597568339509174,0.023125637802367125,0.0237232061418763,0.16088805556297303,0.03624486014246941
800,2.0444375719787886,0.0025,0.01,0,mixed,0.11206476390361786,2.0444375719787855,15.625013089442408,0.0017485348229271044,0.027240122810853435,0.02549158798792633,0.10191503375768662,0.02937646418809891
800,1.9053433513168854,0.0025,0.01,1,mixed,0.09125321358442307,1.9003262044108542,14.427339667507532,0.0015533153841583228,0.026221827841868245,0.027775143226026568,0.09953393995761872,0.019859756566584112
800,1.9579656514081705,0.0025,0.01,2,mixed,0.04961226508021355,1.9238096562121565,14.40218336595903,0.002094192495984252,0.032059633036966205,0.029965440540981953,0.20320087134838105,0.014515116568654778
800,1.9440458916932264,0.0025,0.01,3,mixed,0.09566880017518997,1.9440458916932255,16.253436773250172,0.0008860351574807371,0.027561216824277306,0.02667518166679657,0.03954025194048882,0.023506107032299044
800,1.9817638365329535,0.0025,0.01,4,mixed,0.07962837815284729,1.9817638365329509,15.124359027755935,0.0012463025818222374,0.028089830443386025,0.029336133025208263,0.2365881896018982,0.020553458705544474
800,1.8193579842456125,0.0025,0.01,5,mixed,0.077255979180336,1.8193579842456116,15.0613192272701,5.773954936726111e-05,0.02553622405103684,0.025593963600404102,0.10456148743629456,0.01765416491776705
800,1.8959130292688324,0.0025,0.01,6,mixed,0.08816489577293396,1.8959130292688349,16.177965169586244,0.0016766111453229218,0.028448118288705356,0.030124729434028278,0.1737733578681946,0.02547970622777939
800,1.9482381428590632,0.0025,0.01,7,mixed,0.150691419839859,1.9482381428590643,15.664097042538641,0.000998000634289873,0.03057301639185468,0.03157101702614455,0.34182966709136964,0.05236492142081261
800,1.9779585639709403,0.0025,0.01,8,mixed,0.1015697494149208,1.9779585639709383,17.185842870722716,0.00013907581450524342,0.03188261138681896,0.031743535572313714,0.18192749679088593,0.030076131448149683
800,2.198811664461581,0.0025,0.01,9,mixed,0.05280047655105591,2.1988116644615836,14.671735421262634,0.00012128974309238288,0.025650430925870795,0.025529141182778412,0.0684477074444294,0.01778160896152258
800,1.836384381987942,0.0025,0.01,10,mixed,0.11685724556446075,1.7029155451967937,15.82993474704182,0.0003802269095189853,0.03504705612164848,0.03542728303116747,0.37495235562324525,0.028304465338587763
800,1.889975927728796,0.0025,0.01,11,mixed,0.1437152475118637,1.889975927728797,17.185778910614495,0.0011186340900134276,0.025879805470107042,0.02699843956012047,0.16088805556297303,0.04691437840461731
