C_exo,gamma,T,regime,mean_err_T,se_err_T,n,mean_sum_dt,se_sum_dt,mean_sum_kappa,se_sum_kappa,mean_gen_gap_traj,se_gen_gap_traj,mean_traj_gap_abs,se_traj_gap_abs,mean_traj_emp_risk,se_traj_emp_risk,mean_traj_emp_risk_excess,se_traj_emp_risk_excess,mean_traj_pop_risk,se_traj_pop_risk,mean_traj_pop_risk_excess,se_traj_pop_risk_excess,mean_pop_mse_initial,se_pop_mse_initial,mean_pop_mse_final,se_pop_mse_final,mean_C_over_T(alpha_opt)
0.0,0.0,2000,iid,0.0476991806425354,0.004945091165832946,12,0.0,0.0,0.0,0.0,0.050244128450818826,0.006720870764594847,0.034837659916436316,0.009739910844748283,5.019164456738946,0.016291756875681622,0.019164456738945363,0.01629175687568162,5.021415159327137,0.001419097757501963,0.021415159327136557,0.001419097757501963,5.0,0.0,5.002558245999668,0.0004945500464594737,0.0
0.0,0.01,2000,endogenous-only,0.11811561118555779,0.012077624749910885,12,0.0,0.0,0.43270263713715745,0.02573446933801368,0.04904678391604578,0.006546098268329512,0.029886085770149656,0.01001648607430917,5.029077704396923,0.015950028830857062,0.02907770439692281,0.015950028830857062,5.031012755803011,0.002239048112867561,0.031012755803010734,0.002239048112867561,5.0,0.0,5.015538002961756,0.0032129718178063984,0.0018814745311828036
0.0,0.02,2000,endogenous-only,0.15414572776607646,0.019369933629486944,12,0.0,0.0,0.8641070542184012,0.04262287039502486,0.048853916525598416,0.00615409846823749,0.03225358021036051,0.009170950051930376,5.0428811095144646,0.01562663497184904,0.042881109514464034,0.015626634971849043,5.043875029104865,0.004499724745400107,0.04387502910486537,0.004499724745400107,5.0,0.0,5.027909255000046,0.006725523203458018,0.003757304151146131
0.0,0.04,2000,endogenous-only,0.20277926949697475,0.012531836358911124,12,0.0,0.0,1.758208072027095,0.06560314082190136,0.05270449744944291,0.006246356297353255,0.04026304328353284,0.006946510731967467,5.065114767613182,0.016333146353170118,0.0651147676131824,0.016333146353170118,5.067110849238796,0.006121492847398241,0.06711084923879625,0.00612149284739824,5.0,0.0,5.042888101872545,0.005314470225799151,0.007645027841580792
0.0,0.08,2000,endogenous-only,0.3183042424627839,0.03632023204119129,12,0.0,0.0,3.4940606331930604,0.13883823369442472,0.0436354780821698,0.00855244294881192,0.057877408385866115,0.01433680190530139,5.1085496081176425,0.016380428007669843,0.10854960811764336,0.01638042800766984,5.1126287205493846,0.0089715237059634,0.1126287205493847,0.0089715237059634,5.0,0.0,5.11605733882667,0.02622705845436847,0.015192849609736468
2.0,0.0,2000,exogenous-only,0.05579158582021285,0.003345223207510177,12,1.9999999999989366,3.1724911013144255e-15,0.0,0.0,0.07187208625398078,0.01063378598584258,0.027371947158081184,0.005784173487412252,5.00986996670462,0.024048017438287606,0.00986996670461974,0.024048017438287606,5.0205531706455515,0.0016402505524396734,0.020553170645551216,0.0016402505524396734,5.0,0.0,5.0032368115122345,0.00038873448516801927,0.0009999999999994683
2.0,0.01,2000,mixed,0.10146797121115732,0.008075537518268942,12,1.9999999999989366,3.1724911013144255e-15,0.42975484123793145,0.021560635990643395,0.07075297878719293,0.010668419220885905,0.027527114335005615,0.005996974686634876,5.02149001409837,0.023839188807493313,0.021490014098369963,0.023839188807493313,5.0314845368127274,0.002518610641739214,0.031484536812726636,0.0025186106417392135,5.0,0.0,5.0110202501734475,0.0015844666748427872,0.0028686569460059635
2.0,0.02,2000,mixed,0.136807016394504,0.011426640897480727,12,1.9999999999989366,3.1724911013144255e-15,0.8740186866880126,0.042209022401703655,0.07044498001167791,0.010963705717628131,0.0329993534723955,0.00595387278066669,5.034494463243331,0.024036461895782825,0.034494463243331275,0.024036461895782825,5.043024364956168,0.004154499072584389,0.043024364956167606,0.004154499072584389,5.0,0.0,5.020229092850548,0.003689211096555649,0.0048004018409988445
2.0,0.04,2000,mixed,0.20588360893393273,0.02030228402434846,12,1.9999999999989366,3.1724911013144255e-15,1.7800143674246707,0.09182689769559543,0.0703105473407762,0.01207567000791904,0.04054087505460443,0.005569592831375321,5.060922102557533,0.024855166931589734,0.06092210255753291,0.024855166931589734,5.068459935779063,0.0060420369800471335,0.06845993577906302,0.0060420369800471335,5.0,0.0,5.046951097512267,0.00996456121976874,0.008739845820230532
2.0,0.08,2000,mixed,0.34908877086523504,0.029007041489009507,12,1.9999999999989366,3.1724911013144255e-15,3.566237264005957,0.17285637733739212,0.07610337701868763,0.011567538877396201,0.057904732222938314,0.015178674328335653,5.108807374687967,0.030812023431775748,0.10880737468796682,0.030812023431775748,5.118516644905959,0.015024914011022487,0.11851664490595981,0.015024914011022487,5.0,0.0,5.130818728322364,0.021801127103540464,0.016506687522810648
4.0,0.0,2000,exogenous-only,0.07100087592624114,0.003985297284557279,12,3.9999999999978733,6.344982202628851e-15,0.0,0.0,0.072214167405521,0.010574485454589638,0.027595691717834752,0.0057198686274592785,5.010840999406228,0.024103625267126335,0.01084099940622707,0.024103625267126335,5.021482469243906,0.001726154996102279,0.02148246924390625,0.001726154996102279,5.0,0.0,5.005222614408347,0.0005940721327658538,0.0019999999999989367
4.0,0.01,2000,mixed,0.1022655340705496,0.007916390767569073,12,3.9999999999978733,6.344982202628851e-15,0.43661367535735945,0.02397331489914288,0.07121429441050083,0.010593157851504668,0.0285638434919131,0.0062705059936860805,5.022202423867867,0.02379699250204602,0.02220242386786671,0.023796992502046015,5.032230313453157,0.002540068351274698,0.03223031345315756,0.002540068351274698,5.0,0.0,5.011124258288154,0.0015952322335349473,0.0038984804797714645
4.0,0.02,2000,mixed,0.1376956307270775,0.011682113396713413,12,3.9999999999978733,6.344982202628851e-15,0.8803499744454961,0.04371437366151438,0.07090038298454486,0.010891853005610958,0.03376569103373502,0.006181884164356129,5.035005342061863,0.02403354111654703,0.035005342061862864,0.02403354111654703,5.043583933603455,0.00425196503396497,0.04358393360345462,0.00425196503396497,5.0,0.0,5.020525793833495,0.0037377260816308304,0.005827931501423097
4.0,0.04,2000,mixed,0.21190313190990331,0.02266863533440835,12,3.9999999999978733,6.344982202628851e-15,1.7882735660096616,0.09343626016292064,0.0707008191143581,0.01201948109623943,0.04197092205363521,0.006613992411722164,5.061543265854039,0.024969771033282004,0.06154326585403861,0.024969771033282007,5.069091045923517,0.006322661587470733,0.06909104592351627,0.006322661587470734,5.0,0.0,5.050561194274904,0.011933077690994439,0.009775758408811511
4.0,0.08,2000,mixed,0.3530141318533248,0.029988529268645658,12,3.9999999999978733,6.344982202628851e-15,3.5828734414366177,0.17195763037149506,0.0761277316790047,0.011656911305577977,0.06050284758134546,0.016472883485323962,5.109778769744668,0.030750443801929806,0.10977876974466756,0.030750443801929806,5.119445357252938,0.015027793057382065,0.11944535725293881,0.015027793057382065,5.0,0.0,5.134116549812378,0.022280390870042147,0.017579024831265447
