C_exo,gamma,T,seed,regime,err_T,sum_dt,sum_kappa,traj_gap_traj,traj_gap_abs,traj_emp_risk,traj_pop_risk,traj_emp_risk_excess,traj_pop_risk_excess,pop_mse_initial,pop_mse_final
0.0,0.0,2000,0,iid,0.033873937481217954,0.0,0.0,0.025260370725662895,0.0071304133571432615,4.998725517536342,5.023985888262005,-0.001274482463657911,0.023985888262004984,5.0,5.0011401456254365
0.0,0.0,2000,1,iid,0.06700363177016377,0.0,0.0,0.017227116869097614,0.10937918323547446,5.00018806808902,5.017415184958118,0.00018806808902027683,0.01741518495811789,5.0,5.004583949318279
0.0,0.0,2000,2,iid,0.03399055348409457,0.0,0.0,0.054430703096980615,0.02919883759950359,5.0789423549607395,5.024511651863759,0.07894235496073954,0.02451165186375892,5.0,5.001168911605985
0.0,0.0,2000,3,iid,0.05248085735287468,0.0,0.0,0.03396367468594885,0.060645977455707545,5.061439850977538,5.027476176291589,0.061439850977538235,0.027476176291589383,5.0,5.002802713351479
0.0,0.0,2000,4,iid,0.04980677390465422,0.0,0.0,0.054259022928572875,0.0019827639963869714,4.9637274423505895,5.017986465279162,-0.03627255764941051,0.017986465279162367,5.0,5.002491073984747
0.0,0.0,2000,5,iid,0.06260707005675395,0.0,0.0,0.05686236514833265,0.027684117472972503,5.075998544946548,5.019136179798215,0.07599854494654767,0.019136179798215025,5.0,5.003873326055229
0.0,0.0,2000,6,iid,0.030369806837167848,0.0,0.0,0.08339823435682092,0.02806066768870874,5.101631492224441,5.01823325786762,0.10163149222444101,0.01823325786762009,5.0,5.000934433710168
0.0,0.0,2000,7,iid,0.05976326455863907,0.0,0.0,0.06859959850380193,0.031176943734613438,4.957384976012938,5.02598457451674,-0.04261502398706174,0.02598457451674019,5.0,5.003600915825002
0.0,0.0,2000,8,iid,0.03320326583432837,0.0,0.0,0.08454280048638729,0.010111608124837801,4.9333154070455265,5.017858207531914,-0.06668459295447349,0.017858207531913806,5.0,5.001082455356497
0.0,0.0,2000,9,iid,0.021878681136925267,0.0,0.0,0.04025968944378722,0.010262468687480819,5.0581719667298275,5.01791227728604,0.058171966729827496,0.01791227728604028,5.0,5.0004965584955645
0.0,0.0,2000,10,iid,0.0776975014631357,0.0,0.0,0.0650800767205375,0.08697930550054522,4.965820929268481,5.030901005989018,-0.03417907073151927,0.030901005989018238,5.0,5.006063135445013
0.0,0.0,2000,11,iid,0.04971482383046946,0.0,0.0,0.019045888443895542,0.01543963214386146,5.034626930725353,5.0155810422814575,0.034626930725353056,0.015581042281457513,5.0,5.002461333222628
0.0,0.01,2000,0,endogenous-only,0.17907607726781863,0.0,0.5799589835568911,0.028581190980887072,0.010013011096271285,5.013546732260497,5.0421279232413845,0.013546732260497407,0.04212792324138448,5.0,5.0321609443324045
0.0,0.01,2000,1,endogenous-only,0.0890908502262295,0.0,0.42661343544460223,0.016645649021927333,0.11011612926901915,5.0125433399014225,5.02918898892335,0.012543339901422534,0.029188988923349868,5.0,5.008062081171133
0.0,0.01,2000,2,endogenous-only,0.2019205771195497,0.0,0.5481860465549993,0.0528180250773449,0.004811064874948201,5.093130486430603,5.040312461353258,0.09313048643060284,0.040312461353257945,5.0,5.040928011262528
0.0,0.01,2000,3,endogenous-only,0.10257559885657272,0.0,0.4057005606357229,0.03180456877804527,0.0567252007522443,5.06886710543112,5.037062536653075,0.06886710543111985,0.037062536653074574,5.0,5.01051834082234
0.0,0.01,2000,4,endogenous-only,0.11524347683141749,0.0,0.39271461065439106,0.052722125149892385,0.008437954548321969,4.972950351360509,5.025672476510401,-0.02704964863949133,0.025672476510401054,5.0,5.013219881597623
0.0,0.01,2000,5,endogenous-only,0.12079288815599067,0.0,0.37892990769717994,0.05505302252416655,0.020501514858253245,5.084672645774755,5.029619623250588,0.08467264577475486,0.02961962325058831,5.0,5.014493256846149
0.0,0.01,2000,6,endogenous-only,0.05839090250891998,0.0,0.3029379741740302,0.08446259333769301,0.026595231951236364,5.10605806600156,5.021595472663867,0.10605806600155976,0.021595472663866744,5.0,5.00341293069004
0.0,0.01,2000,7,endogenous-only,0.12908739045983542,0.0,0.5608652150756616,0.06426800039238323,0.025219880171336584,4.974360065161784,5.0386280655541675,-0.025639934838215694,0.038628065554167534,5.0,5.016521020555479
0.0,0.01,2000,8,endogenous-only,0.0703716420424979,0.0,0.33687077148621225,0.08181733688338877,0.0079600632079746,4.939767628464111,5.0215849653474995,-0.06023237153588923,0.02158496534749954,5.0,5.0049258297458445
0.0,0.01,2000,9,endogenous-only,0.094603246015799,0.0,0.39221252648690297,0.04191702158384203,0.00467016612762805,5.063953645153373,5.022036623569531,0.0639536451533731,0.022036623569531066,5.0,5.008807191320483
0.0,0.01,2000,10,endogenous-only,0.10946116080083741,0.0,0.4727805865653567,0.061856709504323426,0.0810463631698477,4.9758985496114,5.037755259115723,-0.02410145038860012,0.037755259115723305,5.0,5.0119328937493774
0.0,0.01,2000,11,endogenous-only,0.14677352394122517,0.0,0.39466102731393976,0.01661516375865535,0.002536449214714409,5.04318383721194,5.026568673453284,0.043183837211939746,0.026568673453284397,5.0,5.021473653447667
0.0,0.02,2000,0,endogenous-only,0.26865815274934945,0.0,1.0477938400814897,0.03869420538941082,0.014008373302685229,5.029746021496834,5.068440226886245,0.02974602149683392,0.06844022688624474,5.0,5.0723533962695475
0.0,0.02,2000,1,endogenous-only,0.10744186584931273,0.0,0.8596196030732698,0.015062308648823297,0.10861184276505753,5.022871957900587,5.03793426654941,0.022871957900586715,0.03793426654941001,5.0,5.011543296464873
